Medium,Growth rate (1/h),RNA/Protein (ug/ug),Strain
cAA+gluc,1.03±0.04 (8),0.302±0.043 (8),Xac
cAA+glyc,0.83±0.03 (2),0.278±0.028 (8),Xac
M63+gluc,0.60±0.01 (2),0.199±0.027 (6),Xac
M63+glyc,0.54±0.01 (2),0.195±0.016 (6),Xac
cAA+gluc,0.82±0.02 (5),0.414±0.066 (5),UK285 (SmR)
cAA+glyc,0.71±0.04 (3),0.350±0.027 (3),UK285 (SmR)
M63+gluc,0.62±0.09 (4),0.318±0.046 (4),UK285 (SmR)
M63+glyc,0.47±0.10 (4),0.254±0.061 (4),UK285 (SmR)
cAA+gluc,0.57±0.02 (4),0.468±0.064 (4),UK317 (SmP)
cAA+glyc,0.45±0.03 (6),0.418±0.062 (6),UK317 (SmP)
M63+gluc,0.44±0.01 (3),0.347±0.050 (3),UK317 (SmP)
M63+glyc,0.33±0.07 (3),0.311±0.042 (3),UK317 (SmP)